source_id,target_id,influence_value
alejoocampog,LuzMarinaVelsq5,0.3409558832645416
alejoocampog,FabianGaray19,0.9995373487472534
alejoocampog,BaricharasThe,0.18854168057441711
alejoocampog,Chaparral0,0.03283374011516571
alejoocampog,ambiental81,0.5621274709701538
alejoocampog,elizabeta02679,0.9995373487472534
alejoocampog,Decima_Realidad,0.5604010820388794
alejoocampog,GonzaloGaravit3,0.9995373487472534
alejoocampog,derasalud,0.16221612691879272
alejoocampog,JorgeMarx613086,0.9995373487472534
FcoLloreda,NMorenoB,0.27422499656677246
FcoLloreda,nicocarreb,0.15413571894168854
MartaMaciasZap1,orsobar,0.13250534236431122
LevyRincon,churches_all,0.3946838676929474
LevyRincon,Acollazos47,0.3946838676929474
LevyRincon,CarlosB04928393,0.3946838676929474
LevyRincon,elizandov,0.3946838676929474
LevyRincon,Juapa95973399,0.3946838676929474
LevyRincon,tides001,0.29280489683151245
LevyRincon,LeitoDaV,0.3946838676929474
LevyRincon,I_am8888,0.28886377811431885
LevyRincon,LuzMarinaVelsq5,0.21127234399318695
LevyRincon,josejulianolar1,0.3946838676929474
LevyRincon,Ocajai,0.3946838676929474
LevyRincon,LiberalM329,0.3946838676929474
LevyRincon,dani4737,0.3946838676929474
LevyRincon,diehercasvan,0.28640663623809814
LevyRincon,3Akkaa,0.3946838676929474
LevyRincon,AlejoMedina1998,0.3946838676929474
LevyRincon,BtranGerman,0.3946838676929474
LevyRincon,Milenarvaezl,0.3946838676929474
LevyRincon,Gustavo84230116,0.3946838676929474
LevyRincon,alejcol1997m,0.3946838676929474
LevyRincon,GiOVANN60116779,0.3946838676929474
LevyRincon,georgemolos,0.3946838676929474
LevyRincon,WilmarRoncancio,0.404776394367218
LevyRincon,ManuelG23199917,0.3946838676929474
LevyRincon,fanf1313,0.2557111084461212
LevyRincon,AlexanderC92356,0.3946838676929474
LevyRincon,william16011964,0.3946838676929474
LevyRincon,tadeusonate,0.3946838676929474
LevyRincon,batier_,0.3946838676929474
LevyRincon,birdmanciudad,0.3946838676929474
LevyRincon,SantaLucia83023,0.3946838676929474
LevyRincon,davidlptw,0.2716221511363983
LevyRincon,DrakeRo57712152,0.3946838676929474
LevyRincon,villamizar99486,0.3946838676929474
LevyRincon,sergioariasb,0.3946838676929474
LevyRincon,GeovannyR6321,0.3946838676929474
Rincon001A,jorgeotaloraang,0.45205411314964294
Rincon001A,pgvargas01,0.3053037226200104
